#bookid	if(downnum>100,if(downnum>400,2,1),0)	if(opennum>100,if(opennum>400,2,1),0)	if(averagestaytime>300,if(averagestaytime>500,2,1),0)	if(downnum > 400,1,0)
2	2	2	1	1
182	2	2	1	1
98	2	2	0	1
4128	2	2	1	1
27	2	2	1	1
8	2	2	2	1
23	2	2	1	1
21	2	2	2	1
4129	2	2	1	1
117	2	2	2	1
121	2	2	1	1
97	2	2	1	1
15	2	2	1	1
183	2	2	1	1
113	2	2	2	1
16	2	2	1	1
112	2	2	0	1
118	2	2	2	1
22	2	2	0	1
7	2	2	2	1
195	2	2	2	1
74	2	2	2	1
18	2	2	1	1
119	2	2	2	1
75	2	2	2	1
141	2	2	0	1
37	2	2	2	1
20	2	2	1	1
103	2	2	1	1
102	2	2	2	1
166	2	2	1	1
171	2	2	0	1
2595	2	2	1	1
8093	2	2	0	1
2599	2	2	2	1
109	2	2	0	1
4126	2	2	0	1
47	2	2	1	1
72	2	2	2	1
26	2	2	1	1
43	1	2	2	0
46	1	2	1	0
3	1	2	2	0
17	1	2	0	0
31	1	2	0	0
59	1	2	1	0
114	1	2	1	0
139	1	2	2	0
101	1	2	1	0
4295	1	2	0	0
99	1	2	2	0
180	1	2	0	0
2600	1	2	0	0
8093	1	2	0	0
92	1	2	2	0
120	1	2	2	0
88	1	2	2	0
108	1	2	0	0
87	1	2	2	0
34	1	2	2	0
41	1	2	1	0
100	1	2	1	0
2596	1	2	1	0
163	1	2	2	0
152	1	2	2	0
2598	1	2	1	0
1	1	2	0	0
25	1	2	2	0
122	1	2	0	0
4300	1	2	1	0
4127	1	2	0	0
158	1	2	0	0
2597	1	2	2	0
2606	1	2	0	0
84	1	2	2	0
35	1	2	1	0
2601	1	2	1	0
4417	1	1	1	0
91	1	2	1	0
55	1	2	2	0
4475	1	2	1	0
153	1	2	2	0
48	1	2	2	0
76	1	2	2	0
49	1	2	2	0
44	1	2	1	0
4610	1	1	1	0
58	1	2	2	0
170	1	2	0	0
30	1	2	1	0
54	1	2	2	0
4285	1	1	0	0
4840	1	1	2	0
159	1	2	0	0
6120	1	1	0	0
4321	1	1	1	0
4181	1	1	1	0
2604	1	2	2	0
2605	1	2	2	0
4237	1	1	1	0
107	1	2	0	0
24	1	2	1	0
28	1	2	1	0
61	1	1	0	0
77	1	2	2	0
167	1	2	0	0
32	1	2	2	0
78	1	2	2	0
94	1	1	1	0
45	1	2	2	0
79	1	1	2	0
8095	1	1	2	0
19	1	2	1	0
4140	1	1	1	0
57	1	1	2	0
